日期,上傳此GPX用戶,總距離水平(km),總爬升高度(m),總下降高度(m),總花費時間(HH:MM:SS),起始到折返點時間(HH:MM:SS),折返到結束時間(HH:MM:SS),上山水平速度(km/h),上山垂直速度(m/h),下山水平速度(km/h),下山垂直速度(m/h),全程平均水平速度(km/h),全程平均垂直速度(m/h),最高海拔(m),最低海拔(m)
2022-01-08,no.166,15.78,2605,2614,11:37:05,06:48:37,04:48:28,1.27,292.8,1.49,423.4,1.36,224.3,3316,1881
2022-01-01,no.167,2.92,1350,1377,02:02:05,00:34:45,01:27:20,1.37,980.7,1.46,729.2,1.44,663.7,2162,1867
2021-12-18,no.168,11.33,11698,11690,08:52:59,05:16:42,03:36:17,1.07,1319.8,1.58,1707.5,1.28,1317.0,3348,1902
2021-12-10,no.169,5.79,1736,323,06:27:24,06:15:26,00:11:58,0.92,277.4,0.09,0.0,0.9,268.9,3309,1872
2021-12-10,no.170,21.51,7503,7504,14:31:03,08:09:41,06:21:22,1.4,572.0,1.59,666.9,1.48,516.9,3306,1889
2024-09-13,no.171,11.8,1803,1803,11:20:45,06:13:02,05:07:43,0.95,260.7,1.15,312.9,1.04,158.9,3315,1875
2021-12-04,no.172,16.89,2839,2835,09:23:50,04:43:10,04:40:40,1.76,455.2,1.83,455.0,1.8,302.2,3333,1881
2021-11-03,no.173,6.92,538,1862,03:49:59,00:00:30,03:49:29,2.53,1644.3,1.8,486.9,1.8,140.5,3306,1963
2021-08-21,no.174,10.5,3328,3327,10:16:01,05:08:31,05:07:30,0.98,424.3,1.06,501.0,1.02,324.2,3344,1910
2021-04-30,no.175,14.47,1736,1739,09:39:39,05:40:36,03:59:03,1.28,290.3,1.81,383.0,1.5,179.8,3329,1882
2021-04-10,no.176,23.3,3498,3578,12:21:23,04:44:15,07:37:08,1.75,412.4,1.97,390.2,1.89,283.1,3330,1876
2017-07-08,no.177,17.46,3016,3029,09:44:38,06:07:23,03:37:15,1.53,298.3,2.24,726.2,1.79,309.6,3333,1881
2021-02-04,no.178,8.82,950,1057,03:19:01,01:22:26,01:56:35,2.71,423.9,2.62,385.3,2.66,286.6,2280,1887
2024-08-23,no.179,12.78,2848,2855,09:05:43,05:02:47,04:02:56,1.28,427.1,1.56,527.4,1.4,313.2,3338,1882
2024-06-29,no.180,22.21,2697,2412,10:32:50,06:18:33,04:14:17,2.42,343.6,1.64,459.2,2.11,255.8,3310,1609
2024-04-19,no.181,9.27,1499,1499,12:22:10,06:38:29,05:43:41,0.69,220.0,0.82,258.5,0.75,121.2,3357,1901
2024-03-16,no.182,17.64,2965,2892,08:29:19,04:34:18,03:55:01,2.07,480.2,2.09,482.8,2.08,349.4,3105,1891
2021-11-18,no.183,19.32,3170,2871,10:32:13,04:13:44,06:18:29,2.39,469.6,1.46,367.9,1.83,300.9,3316,1835
2023-10-22,no.184,5.77,1483,141,07:54:24,07:26:59,00:27:25,0.72,198.5,0.88,113.7,0.73,187.7,3302,1905
2019-01-29,no.185,5.33,1151,2581,03:03:58,00:04:13,02:59:45,0.02,44.4,1.78,861.6,1.74,375.6,3346,1913
2020-05-02,no.186,18.38,3514,2183,13:09:21,12:52:25,00:16:56,1.4,269.2,1.42,362.6,1.4,267.1,3331,1875
2022-09-09,no.187,21.24,9249,9235,11:37:27,06:24:07,05:13:20,1.69,860.4,1.99,957.6,1.83,795.7,3160,1681
